id,name
d1,Abdominal aortic aneurysm (enlarged major blood vessel)
d1001,Angioedema swelling of skin
d1003,Detached retina retinal detachment
d1007,Thyroid cancer neck gland cancer
d1008,Coronary artery disease CAD
d1017,Valvular heart disease abnormal heart valves
d1018,Aortic regurgitation leaking heart valve
d1019,Mitral stenosis tight heart valve
d1020,Mitral regurgitation leaking heart valve
d103,Botulism bacterial toxin causing muscle weakness
d1035,Myxedema coma severely low thyroid hormone
d1036,Bed bugs
d1037,Athlete's foot tinea pedis
d1044,Cauliflower ear wrestlers ear
d105,Bradycardia slow heart rate
d1057,Hidradenitis suppurativa chronic collections of pus
d1059,Spleen injury splenic rupture
d109,Breast cancer tumor
d1099,Lewy body dementia common type of dementia
d1106,Synovitis inflammation of joint lining
d1112,Hepatic encephalopathy confusion from liver failure
d1138,Reflex sympathetic dystrophy complex pain syndrome
d1145,Chronic venous insufficiency weakened leg veins
d1147,Diabetic neuropathy nerve damage
d1151,Dysthymia depression
d117,Bulimia nervosa binge eating
d119,Burning mouth syndrome
d120,Burns
d121,Bursitis inflammation of joint cushion
d1249,Scleritis inflammation of the eye
d1255,Focal seizure partial seizure
d1257,Generalized seizure disorder generalized epilepsy
d1261,Mycoplasma infection bacteria
d1263,Duodenal cancer small intestine
d1267,Gallbladder cancer
d1271,Thyroid cyst
d1273,Herpangina mouth blisters
d1275,Ewing's sarcoma cancer
d1279,Fallopian tube cancer
d1289,Foot ulcer
d1297,Glomerulonephritis kidney disease
d130,Cardiomyopathy weakened heart
d1305,Hepatitis A
d1309,Huntington disease chorea
d1317,Langerhans cell histiocytosis Histiocytosis X
d1319,Large cell lung cancer
d1321,Malignant Mesothelioma
d133,Carpal tunnel syndrome wrist nerve compression
d1333,Parathyroid cancer
d1345,Post-polio syndrome
d1355,Retinoblastoma pediatric eye cancer
d1357,Retrobulbar Neuritis
d1361,Squamous cell lung cancer
d1365,Tay-Sachs disease
d1367,Tear duct infection Dacryocystitis
d1369,Thrombophlebitis superficial
d138,Cavity tooth caries
d1385,Yaws
d1387,Amyloidosis
d139,Celiac disease celiac sprue
d1393,Broken jaw mandible fracture
d1395,Conversion disorder
d1399,Decompression sickness bends
d1435,Traumatic brain injury
d1441,Lymphadenitis
d1443,Drug withdrawal syndrome
d145,Cerebral palsy movement disorder
d1455,Neutropenia
d1463,Pancytopenia
d1467,Cerebellar Ataxia
d1469,Complex partial seizures psychomotor epilepsy
d1473,Retinopathy
d1475,Corneal ulcer
d149,Cervical cancer tumor
d1497,Urethral stricture
d1509,Hydronephrosis
d151,Cervical radiculopathy pinched nerve in neck
d1513,Scurvy vitamin C deficiency
d1515,Beriberi thiamine vitamin B1 deficiency
d1519,Cardiomegaly enlarged heart
d152,Cervical spine fracture broken neck bone
d153,Cervical spondylosis neck arthritis
d1535,Dystonia
d154,Cervicitis inflammation of the lower uterus
d155,Chagas disease trypanosomiasis
d158,Chest trauma injury
d164,Choledocholithiasis stone in bile duct
d170,Chronic obstructive pulmonary disease COPD
d171,Chronic pain
d179,Colonic diverticulitis inflammation of pouches in the large intestine
d18,Frozen shoulder  (adhesive capsulitis of shoulder)
d186,Conjunctivitis pink eye
d192,Corneal abrasion scrape on eye
d193,Corneal foreign body object in the eye
d195,Costochondritis chest wall inflammation
d199,Cushing disease excessive pituitary gland hormones
d200,Cutaneous larva migrans parasitic skin disease
d201,Cystocele bladder hernia
d205,Dehydration
d208,Dengue fever tropical mosquito borne illness
